mood,quote
Angry,"Angry,""For every minute you remain angry, you give up sixty seconds of peace of mind."""
Angry,"Angry,""Speak when you are angry and you will make the best speech you will ever regret."""
Angry,"Angry,""The best fighter is never angry."""
Disgust,"Disgust,""The more you can embrace the uncomfortable, the more you’ll be able to handle anything that comes your way."""
Disgust,"Disgust,""Disgust is a powerful emotion that can help us avoid things that are potentially harmful."""
Fear,"Fear,""The only thing we have to fear is fear itself."""
Fear,"Fear,""Do one thing every day that scares you."""
Happy,"Happy,""Happiness is not something ready made. It comes from your own actions."""
Happy,"Happy,""The purpose of our lives is to be happy."""
Sad,"Sad,""Tears come from the heart and not from the brain."""
Sad,"Sad,""It's okay to be sad. It’s just a part of life."""
Surprise,"Surprise,""Surprise is the greatest gift which life can grant us."""
Surprise,"Surprise,""The most beautiful things in life are often unexpected."""
Neutral,"Neutral,""The best way to predict the future is to create it."""
Neutral,"Neutral,""Keep your face always toward the sunshine—and shadows will fall behind you."""
